Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-10-15,95,95.18,94.120003,94.790001,91.963814,4292500,421
2019-10-16,94.089996,95.139999,94.07,94.879997,92.051125,4883300,422
2019-10-17,95.57,95.889999,94.970001,95.559998,92.710869,3427400,423
2019-10-18,94.809998,96.459999,94.800003,96.099998,93.234764,6209200,424
2019-10-21,96.610001,96.870003,95.419998,96.220001,93.351173,5185800,425
2019-10-22,96.059998,96.830002,95.519997,95.599998,92.749664,5470100,426
2019-10-23,95.029999,95.540001,92.120003,92.32,89.567451,11933600,427
2019-10-24,92.68,92.870003,90.989998,91.5,88.771896,12085800,428
2019-10-25,91.440002,91.830002,90.75,90.919998,88.209206,8147200,429
2019-10-28,91.059998,91.300003,90.169998,90.849998,88.141289,10304700,430
2019-10-29,90.849998,90.919998,89.129997,89.279999,86.618103,9044700,431
2019-10-30,89.449997,90.269997,89.349998,90.190002,87.500969,8127500,432
2019-10-31,90,90.410004,88.940002,89.550003,86.880035,6752000,433
2019-11-01,90.18,90.529999,89,89.18,86.521072,5263600,434
2019-11-04,90.129997,90.559998,89.32,89.860001,87.180809,8161200,435
2019-11-05,90.150002,90.339996,89.540001,89.879997,87.200203,5589700,436
2019-11-06,90.639999,90.720001,88.739998,89.480003,86.812141,7033800,437
2019-11-07,90.470001,90.599998,89.769997,90.400002,87.704704,7110000,438
2019-11-08,90.279999,90.349998,89.290001,89.809998,87.132278,4555400,439
2019-11-11,89.370003,90.099998,89.370003,90.050003,87.365128,3247300,440
2019-11-12,90.309998,92.029999,89.489998,89.5,86.831528,3979600,441
2019-11-13,89.730003,91.550003,89.57,91.290001,88.568176,5923600,442
2019-11-14,91.489998,91.959999,90.720001,91.269997,88.548775,6035300,443
2019-11-15,92.139999,93.559998,91.959999,93.040001,90.265999,6785500,444
2019-11-18,93.5,94.260002,92.910004,94.18,91.371986,6165600,445
2019-11-19,94.610001,95.120003,93.059998,93.610001,90.818985,5368400,446
2019-11-20,94.110001,94.400002,92.769997,93.050003,90.275703,6235400,447
2019-11-21,92.620003,93.300003,92.07,92.160004,89.412224,5493100,448
2019-11-22,92.209999,93.349998,91.93,93.339996,90.557045,4264400,449
2019-11-25,93.779999,93.970001,92.739998,92.900002,90.13018,5419700,450
2019-11-26,93.379997,93.629997,93.019997,93.330002,90.54734,5907400,451
2019-11-27,93.5,94.379997,93.5,94.139999,91.333199,4017400,452
2019-11-29,94.370003,94.610001,93.389999,93.489998,90.939255,2541800,453
2019-12-02,94.089996,94.279999,92.980003,93.559998,91.007339,3892000,454
2019-12-03,92.480003,92.550003,91.309998,92.459999,89.937347,5570700,455
2019-12-04,92.809998,93.790001,92.730003,93.720001,91.162971,4456400,456
2019-12-05,95.879997,95.949997,94.68,95.790001,93.176491,6946000,457
2019-12-06,96.559998,97.309998,96.379997,97,94.353477,6368500,458
2019-12-09,97.019997,97.629997,96.160004,96.629997,93.993568,6517800,459
2019-12-10,96.760002,97.589996,96.629997,97.010002,94.363205,4234300,460
2019-12-11,96.900002,97.32,96.650002,97.18,94.528572,4319700,461
2019-12-12,97.32,98.18,96.900002,97.720001,95.053833,4762800,462
2019-12-13,97.43,98.290001,96.910004,97.769997,95.102463,5247600,463
2019-12-16,98.139999,99.339996,98.059998,98.809998,96.114098,8211300,464
2019-12-17,99.379997,100.169998,99.050003,99.650002,96.931168,7050700,465
2019-12-18,100.199997,100.790001,99.580002,100.57,97.826073,7332000,466
2019-12-19,100.5,101.269997,99.629997,101.150002,98.390266,12214500,467
2019-12-20,101,101.400002,98.849998,99.959999,97.232712,17641600,468
2019-12-23,100.230003,100.690002,99.550003,100.040001,97.310539,6350500,469
2019-12-24,99.830002,100.660004,99.760002,100.139999,97.407822,3328100,470
2019-12-26,100.339996,100.75,100.110001,100.709999,97.962257,3709900,471
2019-12-27,101,101.790001,100.989998,101.57,98.79879,5307500,472
2019-12-30,101.540001,101.610001,100.459999,100.800003,98.049805,3495200,473
2019-12-31,100.580002,101.389999,100.510002,101.309998,98.545891,3213600,474
2020-01-02,101.360001,102.209999,101.019997,102.199997,99.411606,5644100,475
2020-01-03,100.589996,102,100.309998,101.919998,99.139229,4541800,476
2020-01-06,100.949997,101.839996,100.870003,101.830002,99.051704,4612400,477
2020-01-07,101.809998,102.739998,100.809998,101.779999,99.003059,6719900,478
2020-01-08,101.309998,102.139999,100.849998,101.550003,98.779327,4942200,479
2020-01-09,101.940002,102.410004,101.389999,101.480003,98.71125,5007500,480
2020-01-10,101.889999,101.93,100.760002,100.900002,98.147079,5135300,481
2020-01-13,101,102.339996,100.82,102.160004,99.372688,6722400,482
2020-01-14,102.449997,103.889999,102.349998,102.919998,100.111969,5088500,483
